STA,YOF,AGE,IAS,IND,SIZ,FUN,COU,CON,INS,INA,NCO,NAD,SEN,EMP,PRE,REP,SSM,TOP,AVC,PAS,SAS,BIG,EXP,PSC,CAV,DAT,CDA,SDA,SUB,CPB,PLA,MOD,CAP,PAR,CRS,CRF,MLB,PAB,SAB,PRB,BDB,CCA,OWN,AGG,OOV,B2V,TOF,AYE,EAG,BEV,EDU,YED,RED,REP,TIE,PRO,ESB,E1O,E5O,E10,TMS,REC,RES,SKI,TSC,DWF,PST,HYP,TTM,LTR,PPP,BAR,AWA,CHF,LRI,GPR,TPA,SOL,INC,TRE,DIS,NDC,EPY,SUR,TIM,AVT,PSE,PSO,PSG,PSM,PSL,PSD,PSB,PSP,PSS,PSD,PSL,PSC,PSF,PSI,PSR
Success,,,-1.0,Operations,No,450000.0,United States,North America,2.0,0.0,1,2,2,15.0,Yes,4.0,Nothing,No,Small,No,No,No,No,Service,No,Private,No,Both,Yes,Platform,Global,Linear,Yes,None,No,No,No,No,No,No,No,No,No,Yes,Online,B2C,High,High,Yes,Low,Masters,21.0,Yes,Yes,Tier_1,500.0,Medium,0.0,0.0,0.0,None,0.0,None,0.0,Low,Low,Yes,No,High,No,No,Yes,No,No,No,9626884.0,No,Yes,No,2.0,Low,0.0,1.5,,,11.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Success,2011.0,3.0,125.0,Marketing,No,,United States,North America,5.0,0.0,2,0,4,20.0,No,0.0,Medium,Yes,Large,Yes,Yes,No,No,Product,No,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Few,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Online,B2C,Low,High,Yes,High,Masters,21.0,Yes,Yes,Tier_1,500.0,High,0.0,0.0,0.0,Medium,13.0,None,34.0,High,Medium,Yes,No,Low,No,Yes,Yes,No,No,Yes,1067034.0,Yes,Yes,No,3.0,Medium,0.0,6.666666667,Not Applicable,10.0,9.0,15.88235294,11.76470588,15.0,12.94117647,0.0,8.823529412000001,21.76470588,10.88235294,2.9411764710000003,0.0,0.0,0.0,0.0,0.0,8.0
Success,2011.0,3.0,455.0,Analytics,No,2350000.0,United States,North America,15.0,0.0,3,0,7,10.0,No,0.0,Low,Yes,Medium,No,No,No,No,Both,Yes,Private,Yes,Both,Yes,Cloud,Local,Non-Linear,No,Few,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,Medium,Yes,Low,Bachelors,18.0,Yes,Yes,Tier_2,500.0,High,0.0,0.0,1.0,Medium,18.0,None,36.0,High,Medium,Yes,No,Low,Yes,Yes,Yes,No,No,No,71391.0,Yes,Yes,Yes,3.0,Medium,0.0,3.333333333,Not Applicable,2.0,7.344444444,9.401709402,0.0,57.47863248,0.0,0.0,3.8461538460000004,17.09401709,9.401709402,0.0,2.777777778,0.0,0.0,0.0,0.0,9.0
Success,2009.0,5.0,-99.0,Mobile,No,10250000.0,United States,North America,6.0,0.0,2,0,4,50.0,Yes,0.0,Low,No,Large,Yes,Yes,No,No,Product,Yes,Public,Yes,Structured,Yes,Platform,Local,Non-Linear,No,Few,Yes,No,No,No,No,No,No,No,No,No,Online,B2C,Medium,Medium,Yes,Low,Bachelors,18.0,Yes,Yes,Tier_2,,Low,0.0,0.0,0.0,Medium,2.0,None,15.5,Medium,Medium,Yes,No,Low,No,Yes,Yes,No,No,No,11847.0,No,Yes,Yes,4.0,Medium,2.0,10.0,Not Applicable,1.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Success,2010.0,4.0,496.0,Analytics,No,5500000.0,United States,North America,7.0,0.0,1,1,8,40.0,No,0.0,High,No,Small,No,No,No,No,Product,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,Yes,Few,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,Bachelors,18.0,Yes,Yes,None,500.0,High,0.0,0.0,0.0,Low,5.0,Few,23.0,Medium,Medium,Yes,No,Low,Yes,Yes,Yes,No,No,No,201814.0,Yes,Yes,No,3.0,Medium,0.0,10.0,Not Applicable,13.0,9.822222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
Success,2010.0,4.0,106.0,Food & Beverages,No,1000000.0,United States,North America,2.0,0.0,4,0,4,14.0,No,2.0,Medium,No,Medium,No,No,No,No,Service,No,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Few,No,No,No,No,No,No,Yes,No,Yes,No,Online,B2B,Low,High,Yes,Medium,Masters,21.0,No,No,None,500.0,Low,0.0,0.0,0.0,Low,5.0,None,25.0,Medium,Medium,Yes,No,Low,No,Yes,No,Yes,No,No,591816.0,Yes,Yes,Yes,4.0,High,0.0,3.5,Not Applicable,12.0,9.322222222,6.25,0.0,3.125,15.625,9.375,3.125,6.25,3.125,3.125,0.0,0.0,0.0,0.0,0.0,6.0
Success,2011.0,3.0,39.0,Analytics,No,2000000.0,United States,North America,7.0,0.0,2,9,2,15.0,No,4.0,Medium,No,Small,Yes,Yes,No,No,Both,Yes,Public,Yes,Unstructured,Yes,Platform,Local,Non-Linear,No,Few,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Medium,PhD,25.0,Yes,Yes,None,,Low,0.0,0.0,0.0,Low,1.0,None,21.0,Medium,Medium,Yes,No,Medium,No,No,Yes,No,No,Yes,2345574.0,Yes,Yes,No,3.0,Medium,0.0,5.0,Not Applicable,11.0,7.311111111000001,0.0,0.0,66.66666667,5.555555556,0.0,22.22222222,0.0,0.0,0.0,5.555555556,0.0,0.0,0.0,0.0,0.0
Success,2010.0,4.0,139.0,Cloud Computing,No,6700000.0,United States,North America,0.0,0.0,3,4,4,40.0,No,0.0,Medium,No,Large,Yes,Yes,No,No,Both,Yes,Private,No,Both,No,Platform,Local,Non-Linear,No,Few,No,No,No,Yes,No,Yes,Yes,No,No,No,Online,B2B,Medium,High,Yes,Medium,Masters,21.0,Yes,Yes,Tier_1,500.0,Medium,0.0,0.0,0.0,High,5.0,Few,4.5,Medium,Medium,Yes,No,Low,No,No,Yes,No,No,No,1015027.0,Yes,Yes,No,3.0,Medium,0.0,10.0,Not Applicable,20.0,6.4,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Success,2011.0,3.0,306.0,Analytics,No,11000000.0,United States,North America,13.0,0.0,2,0,2,50.0,No,0.0,Medium,Yes,Medium,Yes,Yes,No,No,Product,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Few,Yes,No,No,No,No,No,Yes,No,Yes,No,Online,B2B,Medium,High,Yes,High,Masters,21.0,Yes,Yes,Tier_1,500.0,High,0.0,0.0,0.0,Medium,13.0,None,48.0,Low,Medium,No,No,Low,No,Yes,No,No,No,No,256921.0,Yes,Yes,No,3.0,Medium,0.0,16.66666667,Not Applicable,18.0,12.0,8.333333332999999,0.0,46.73202614,5.718954247999999,8.333333332999999,0.0,19.77124183,2.777777778,2.777777778,0.0,0.0,0.0,0.0,5.555555556,5.0
Success,2013.0,1.0,53.0,Healthcare,No,3000000.0,United States,North America,0.0,0.0,3,4,3,3.0,No,0.0,Nothing,Yes,Medium,Yes,Yes,No,No,Product,No,Public,Yes,Structured,No,Platform,Global,Non-Linear,No,None,No,No,No,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,High,PhD,25.0,Yes,Yes,Tier_1,500.0,High,0.0,0.0,0.0,Medium,1.0,None,25.5,Medium,High,Yes,No,Medium,Yes,No,Yes,No,No,Yes,3639779.0,No,Yes,No,1.0,Low,0.0,3.0,Not Applicable,5.0,5.0,8.333333332999999,0.0,27.08333333,19.79166667,0.0,23.95833333,0.0,0.0,0.0,20.83333333,0.0,0.0,0.0,0.0,4.0
Success,2011.0,3.0,762.0,Analytics,No,16000000.0,United States,North America,0.0,0.0,2,1,8,50.0,No,0.0,Medium,No,Small,Yes,Yes,No,No,Both,No,Public,Yes,Both,No,Platform,Global,Non-Linear,No,Many,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Medium,High,Yes,High,Bachelors,18.0,No,Yes,None,500.0,High,0.0,0.0,1.0,None,4.0,None,14.5,High,Medium,Yes,No,Low,No,Yes,Yes,No,No,No,142907.0,Yes,Yes,No,4.0,Medium,4.0,25.0,Not Applicable,24.0,2.666666667,3.8461538460000004,0.0,26.92307692,0.0,3.8461538460000004,3.8461538460000004,7.692307692000001,0.0,3.8461538460000004,0.0,0.0,0.0,0.0,0.0,6.0
Success,2010.0,4.0,140.0,Operations,No,6300000.0,United States,North America,0.0,1.0,0,1,7,50.0,No,1.0,Medium,No,,Yes,Yes,No,No,Product,Yes,Private,No,Structured,No,Platform,Global,Non-Linear,No,Few,No,No,No,No,No,No,No,No,No,No,Online,B2B,None,High,Yes,High,Masters,21.0,Yes,Yes,Tier_1,500.0,High,0.0,0.0,0.0,Low,0.0,Few,12.0,High,Medium,Yes,No,Low,No,Yes,Yes,No,No,Yes,1560315.0,No,No,No,3.0,Medium,0.0,16.6,Not Applicable,18.0,3.85,27.27272727,0.0,18.18181818,0.0,9.090909091,0.0,36.36363636,9.090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Success,2010.0,4.0,115.0,Media,No,11500000.0,United States,North America,0.0,0.0,0,1,8,50.0,No,1.0,High,No,Medium,Yes,Yes,No,Yes,Product,Yes,Private,Yes,Structured,No,Cloud,Local,Non-Linear,Yes,Few,No,No,No,No,No,No,No,Yes,No,No,Online,B2B,Medium,High,Yes,Medium,Bachelors,18.0,Yes,Yes,None,500.0,High,1.0,0.0,0.0,None,0.0,Few,0.0,High,Medium,Yes,No,Low,No,Yes,Yes,Yes,No,No,172054.0,No,Yes,No,3.0,Medium,0.0,16.6,Not Applicable,12.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Success,2008.0,6.0,277.0,Music,No,6500000.0,United States,North America,0.0,0.0,3,0,6,22.0,No,0.0,Low,No,Large,Yes,No,Yes,Yes,Product,No,Public,Yes,Both,Yes,Cloud,Global,Non-Linear,No,Few,No,No,No,No,No,No,Yes,No,Yes,No,Online,B2B,Medium,Medium,Yes,Low,Bachelors,18.0,Yes,Yes,Tier_1,500.0,Medium,0.0,0.0,1.0,Medium,1.0,None,20.5,Medium,Medium,Yes,No,Low,,No,Yes,No,No,No,99081.0,Yes,Yes,Yes,3.0,Medium,0.0,4.4,Yes,14.0,7.333333333,8.333333332999999,0.0,50.0,16.66666667,0.0,12.5,4.166666667,4.166666667,4.166666667,0.0,0.0,0.0,0.0,0.0,0.0
Success,2010.0,4.0,242.0,E-Commerce,No,2800000.0,United States,North America,0.0,2.0,2,0,5,50.0,No,0.0,High,No,Medium,No,No,No,No,Product,Yes,Public,Yes,Both,No,Platform,Local,Non-Linear,No,Few,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Online,B2B,Low,High,Yes,High,PhD,25.0,Yes,Yes,Tier_1,500.0,Medium,0.0,0.0,0.0,High,1.0,Few,22.5,High,Medium,Yes,No,Low,Yes,Yes,Yes,No,No,No,713494.0,Yes,Yes,No,3.0,Medium,0.0,16.6,Not Applicable,48.0,48.0,13.33333333,0.0,6.666666667,60.0,0.0,13.33333333,6.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Success,2008.0,6.0,533.0,Healthcare,Yes,41000000.0,United States,North America,0.0,0.0,2,0,8,200.0,No,0.0,High,No,,No,No,No,No,Both,No,Public,Yes,Both,No,Platform,Global,Non-Linear,Yes,Few,No,No,No,Yes,No,No,No,No,No,No,Online,B2B,Medium,High,Yes,Medium,Masters,21.0,Yes,Yes,Tier_1,500.0,High,0.0,1.0,0.0,Low,9.0,Few,21.0,High,Medium,Yes,No,Low,Yes,No,Yes,Yes,No,No,289041.0,Yes,Yes,No,3.0,Medium,0.0,40.0,Yes,38.0,8.0,11.11111111,5.555555556,5.555555556,0.0,11.11111111,11.11111111,27.77777778,0.0,11.11111111,5.555555556,0.0,0.0,5.555555556,5.555555556,5.0
