Sector,Companies,Countries,Success rate,Avg. amount of funding raised,Avg. investors,Avg. advisors
Communication Services,131,9,0.534351145,5.846792469,2,1
Consumer Discretionary,81,7,0.604938272,3.28246034,3,1
Energy,4,1,0.25,4.92125,1,2
Financials,3,1,0.666666667,12.63333333,1,6
Health Care,8,2,0.625,9.585714286,2,1
Industrials,12,4,0.75,3.956833333,3,2
Information Technology,216,18,0.759259259,7.542759414,3,2
N/A,11,1,1,3.8024132,1,1
Real Estate,2,1,1,3.5,1,1
Utilities,4,1,0.75,11.75,2,1
All,472,22,0.646186441,6.379489436,3,2
